data,data_prev,codigo,valor,atencao,alerta,inundacao,unidade,qualityVerified,cod,dt,cota
2024-12-21 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1002.4500122070312,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-21,
2024-12-22 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1052.834716796875,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-22,
2024-12-23 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1062.3936767578125,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-23,
2024-12-24 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1128.376220703125,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-24,
2024-12-25 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1285.2978515625,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-25,
2024-12-26 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1612.6617431640625,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-26,
2024-12-27 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1850.162841796875,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-27,
2024-12-28 00:00:00+00:00,2024-12-21 14:25:17.927726+00:00,hybas_6120695400,1875.6507568359375,3340.688720703125,4494.95556640625,5854.15478515625,CUBIC_METERS_PER_SECOND,False,56998200,2024-12-28,
2024-12-20 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,79.47413635253906,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-20,141.0
2024-12-21 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,71.8838882446289,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-21,132.0
2024-12-22 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,81.536865234375,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-22,144.0
2024-12-23 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,106.58956909179688,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-23,174.0
2024-12-24 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,136.27450561523438,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-24,207.0
2024-12-25 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,166.16952514648438,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-25,238.0
2024-12-26 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,195.48275756835938,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-26,268.0
2024-12-27 00:00:00+00:00,2024-12-21 13:23:32.078597+00:00,hybas_6120692210,204.73216247558594,546.709228515625,836.5011596679688,1263.13720703125,CUBIC_METERS_PER_SECOND,False,41410000,2024-12-27,277.0
2024-12-20 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,247.34323120117188,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-20,219.0
2024-12-21 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,214.05078125,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-21,199.0
2024-12-22 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,206.77760314941406,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-22,195.0
2024-12-23 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,235.7351837158203,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-23,212.0
2024-12-24 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,292.7328796386719,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-24,244.0
2024-12-25 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,366.80712890625,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-25,282.0
2024-12-26 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,447.88519287109375,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-26,322.0
2024-12-27 00:00:00+00:00,2024-12-21 13:36:32.325418+00:00,hybas_6121233680,511.96856689453125,1072.330322265625,1474.776611328125,1964.8218994140625,CUBIC_METERS_PER_SECOND,False,41818000,2024-12-27,352.0
2024-12-21 00:00:00+00:00,2024-12-21 14:25:13.434169+00:00,hybas_6120708840,23.99864387512207,143.71627807617188,232.0257110595703,374.08966064453125,CUBIC_METERS_PER_SECOND,False,41195050,2024-12-21,174.0
2024-12-22 00:00:00+00:00,2024-12-21 14:25:13.434169+00:00,hybas_6120708840,33.956905364990234,143.71627807617188,232.0257110595703,374.08966064453125,CUBIC_METERS_PER_SECOND,False,41195050,2024-12-22,198.0
2024-12-23 00:00:00+00:00,2024-12-21 14:25:13.434169+00:00,hybas_6120708840,39.86410903930664,143.71627807617188,232.0257110595703,374.08966064453125,CUBIC_METERS_PER_SECOND,False,41195050,2024-12-23,212.0
2024-12-24 00:00:00+00:00,2024-12-21 14:25:13.434169+00:00,hybas_6120708840,47.715606689453125,143.71627807617188,232.0257110595703,374.08966064453125,CUBIC_METERS_PER_SECOND,False,41195050,2024-12-24,229.0
